القطاع,الاختصار,التقييم,المعنى بالإنجليزية,المعنى بالعربية
الذكاء الاصطناعي والتقنية المتقدمة,AGI,10/10,Artificial General Intelligence,الذكاء الاصطناعي العام
الذكاء الاصطناعي والتقنية المتقدمة,LLM,10/10,Large Language Model,نماذج اللغات الكبيرة
الذكاء الاصطناعي والتقنية المتقدمة,OCR,9/10,Optical Character Recognition,التعرف البصري على الحروف
الذكاء الاصطناعي والتقنية المتقدمة,RPA,9/10,Robotic Process Automation,أتمتة العمليات الروبوتية
الذكاء الاصطناعي والتقنية المتقدمة,NLP,10/10,Natural Language Processing,معالجة اللغات الطبيعية
الذكاء الاصطناعي والتقنية المتقدمة,BCI,8.5/10,Brain-Computer Interface,واجهة الدماغ والحاسوب
الذكاء الاصطناعي والتقنية المتقدمة,IoT,10/10,Internet of Things,إنترنت الأشياء
الذكاء الاصطناعي والتقنية المتقدمة,UAV,8/10,Unmanned Aerial Vehicle,المركبات الجوية بدون طيار
الذكاء الاصطناعي والتقنية المتقدمة,TTS,9/10,Text-to-Speech,تحويل النص إلى كلام
الذكاء الاصطناعي والتقنية المتقدمة,STT,9/10,Speech-to-Text,تحويل الكلام إلى نص
الذكاء الاصطناعي والتقنية المتقدمة,CV,9.5/10,Computer Vision,الرؤية الحاسوبية
الذكاء الاصطناعي والتقنية المتقدمة,NLU,8.5/10,Natural Language Understanding,فهم اللغات الطبيعية
الذكاء الاصطناعي والتقنية المتقدمة,NLG,8.5/10,Natural Language Generation,توليد اللغات الطبيعية
الذكاء الاصطناعي والتقنية المتقدمة,CNN,8/10,Convolutional Neural Network,الشبكات العصبية الالتفافية
الذكاء الاصطناعي والتقنية المتقدمة,RNN,8/10,Recurrent Neural Network,الشبكات العصبية المتكررة
الذكاء الاصطناعي والتقنية المتقدمة,GAN,8.5/10,Generative Adversarial Network,شبكات التوليد التنافسية
الذكاء الاصطناعي والتقنية المتقدمة,SDK,10/10,Software Development Kit,حزمة تطوير البرمجيات
الذكاء الاصطناعي والتقنية المتقدمة,GUI,9/10,Graphical User Interface,واجهة المستخدم الرسومية
الذكاء الاصطناعي والتقنية المتقدمة,IDE,9.5/10,Integrated Development Environment,بيئة التطوير المتكاملة
الذكاء الاصطناعي والتقنية المتقدمة,K8S,10/10,Kubernetes,نظام إدارة الحاويات البرمجية
قطاع الأعمال وبرمجيات الشركات,ERP,10/10,Enterprise Resource Planning,تخطيط موارد المؤسسات
قطاع الأعمال وبرمجيات الشركات,CRM,10/10,Customer Relationship Management,إدارة علاقات العملاء
قطاع الأعمال وبرمجيات الشركات,CMS,10/10,Content Management System,نظام إدارة المحتوى
قطاع الأعمال وبرمجيات الشركات,B2B,10/10,Business to Business,من شركة لشركة
قطاع الأعمال وبرمجيات الشركات,B2C,9.5/10,Business to Consumer,من شركة لمستهلك
قطاع الأعمال وبرمجيات الشركات,D2C,9/10,Direct to Consumer,مباشر للمستهلك
قطاع الأعمال وبرمجيات الشركات,SaaS,10/10,Software as a Service,البرمجيات كخدمة
