ï»¿Domain,Prefix / Keyword,Target Sector,Market Scale,Category
fin.tech,fin,Financial,Trillions,Industry Crossover (Category Defining)
wealth.tech,wealth,Wealth Management,Billions,Industry Crossover (Category Defining)
pay.tech,pay,Payments,Billions,Industry Crossover (Category Defining)
tax.tech,tax,Taxation,Billions,Industry Crossover (Category Defining)
bank.tech,bank,Banking,Trillions,Industry Crossover (Category Defining)
lend.tech,lend,Lending,Billions,Industry Crossover (Category Defining)
insur.tech,insur,Insurance,Trillions,Industry Crossover (Category Defining)
reg.tech,reg,Regulatory Compliance,Billions,Industry Crossover (Category Defining)
legal.tech,legal,Legal Services,Billions,Industry Crossover (Category Defining)
gov.tech,gov,Government,Billions,Industry Crossover (Category Defining)
civic.tech,civic,Civic / Public Sector,Billions,Industry Crossover (Category Defining)
audit.tech,audit,Auditing,Billions,Industry Crossover (Category Defining)
claim.tech,claim,Insurance Claims,Millions,Industry Crossover (Category Defining)
med.tech,med,Medical,Trillions,Industry Crossover (Category Defining)
health.tech,health,Healthcare,Trillions,Industry Crossover (Category Defining)
bio.tech,bio,Biotechnology,Trillions,Industry Crossover (Category Defining)
neuro.tech,neuro,Neurology / Brain,Billions,Industry Crossover (Category Defining)
geno.tech,geno,Genomics,Billions,Industry Crossover (Category Defining)
fem.tech,fem,Female Health,Billions,Industry Crossover (Category Defining)
age.tech,age,Elderly Care,Billions,Industry Crossover (Category Defining)
dent.tech,dent,Dental,Billions,Industry Crossover (Category Defining)
vet.tech,vet,Veterinary,Billions,Industry Crossover (Category Defining)
pet.tech,pet,Pet Care,Billions,Industry Crossover (Category Defining)
pharma.tech,pharma,Pharmaceuticals,Trillions,Industry Crossover (Category Defining)
sleep.tech,sleep,Sleep Optimization,Billions,Industry Crossover (Category Defining)
fit.tech,fit,Fitness,Billions,Industry Crossover (Category Defining)
mind.tech,mind,Mental Health,Billions,Industry Crossover (Category Defining)
care.tech,care,Caregiving,Billions,Industry Crossover (Category Defining)
cure.tech,cure,Disease Curing,Billions,Industry Crossover (Category Defining)
ag.tech,ag,Agriculture,Trillions,Industry Crossover (Category Defining)
agri.tech,agri,Agriculture,Trillions,Industry Crossover (Category Defining)
food.tech,food,Food Production/Delivery,Trillions,Industry Crossover (Category Defining)
farm.tech,farm,Farming,Billions,Industry Crossover (Category Defining)
aqua.tech,aqua,Aquaculture / Water,Billions,Industry Crossover (Category Defining)
crop.tech,crop,Crop Management,Billions,Industry Crossover (Category Defining)
seed.tech,seed,Seed Engineering,Billions,Industry Crossover (Category Defining)
soil.tech,soil,Soil Analysis,Billions,Industry Crossover (Category Defining)
nutri.tech,nutri,Nutrition,Billions,Industry Crossover (Category Defining)
brew.tech,brew,Brewing / Beverages,Millions,Industry Crossover (Category Defining)
prop.tech,prop,Real Estate (Property),Trillions,Industry Crossover (Category Defining)
real.tech,real,Real Estate,Trillions,Industry Crossover (Category Defining)
build.tech,build,Construction,Trillions,Industry Crossover (Category Defining)
con.tech,con,Construction,Trillions,Industry Crossover (Category Defining)
smart.tech,smart,Smart Home/City,Billions,Industry Crossover (Category Defining)
city.tech,city,Urban Planning,Billions,Industry Crossover (Category Defining)
home.tech,home,Home Automation,Billions,Industry Crossover (Category Defining)
lease.tech,lease,Leasing/Renting,Billions,Industry Crossover (Category Defining)
rent.tech,rent,Rental Markets,Billions,Industry Crossover (Category Defining)
space.tech,space,Spatial / Real Estate,Billions,Industry Crossover (Category Defining)
clean.tech,clean,Clean Energy,Trillions,Industry Crossover (Category Defining)
green.tech,green,Green Energy / Sustainability,Trillions,Industry Crossover (Category Defining)
climate.tech,climate,Climate Change,Trillions,Industry Crossover (Category Defining)
eco.tech,eco,Ecology / Environment,Billions,Industry Crossover (Category Defining)
blue.tech,blue,Ocean / Marine,Billions,Industry Crossover (Category Defining)
wind.tech,wind,Wind Energy,Billions,Industry Crossover (Category Defining)
sun.tech,sun,Solar Energy,Billions,Industry Crossover (Category Defining)
solar.tech,solar,Solar Energy,Billions,Industry Crossover (Category Defining)
hydro.tech,hydro,Water Energy,Billions,Industry Crossover (Category Defining)
grid.tech,grid,Energy Grid,Billions,Industry Crossover (Category Defining)
carbon.tech,carbon,Carbon Tracking/Capture,Billions,Industry Crossover (Category Defining)
auto.tech,auto,Automotive,Trillions,Industry Crossover (Category Defining)
mobil.tech,mobil,Mobility,Trillions,Industry Crossover (Category Defining)
trans.tech,trans,Transportation,Trillions,Industry Crossover (Category Defining)
log.tech,log,Logistics,Trillions,Industry Crossover (Category Defining)
ship.tech,ship,Shipping,Billions,Industry Crossover (Category Defining)
freight.tech,freight,Freight Forwarding,Billions,Industry Crossover (Category Defining)
aero.tech,aero,Aerospace,Trillions,Industry Crossover (Category Defining)
