ï»¿Domain,Keyword,Category,Market Rationale
shop.tech,shop,Commerce,Universal for e-commerce and retail tech platforms.
buy.tech,buy,Commerce,"Direct action for consumer tech, procurement."
sell.tech,sell,Commerce,"Sales automation, marketplace tech."
deal.tech,deal,Commerce,"B2B negotiations, discount platforms, fintech."
cart.tech,cart,Commerce,"Shopping cart SaaS, logistics, e-commerce."
mall.tech,mall,Commerce,"Virtual malls, marketplace aggregators."
bid.tech,bid,Commerce,"Auction tech, ad-tech, programmatic bidding."
ask.tech,ask,Commerce,"Market pricing, Q&A AI, expert platforms."
gift.tech,gift,Commerce,"Gifting platforms, reward tech, loyalty apps."
card.tech,card,Commerce,"Payment tech, fintech, digital identity."
cash.tech,cash,Commerce,"Fintech, digital payments, liquid assets."
gold.tech,gold,Commerce,"Premium services, commodities tech, wealth."
coin.tech,coin,Commerce,"Crypto, micro-transactions, gaming currency."
bank.tech,bank,Commerce,"Neo-banks, fintech, secure storage."
loan.tech,loan,Commerce,"Lending platforms, AI credit scoring."
debt.tech,debt,Commerce,"Debt management SaaS, collection tech."
tax.tech,tax,Commerce,"RegTech, accounting automation."
fee.tech,fee,Commerce,"Payment processing, transparent pricing."
save.tech,save,Commerce,"Savings apps, data preservation."
spend.tech,spend,Commerce,"Expense management, consumer tracking."
trip.tech,trip,Travel & Mobility,"Travel planning, itinerary SaaS."
tour.tech,tour,Travel & Mobility,"Virtual tours, tourism tech, travel guides."
ride.tech,ride,Travel & Mobility,"Ride-sharing, mobility tech, autonomous cars."
road.tech,road,Travel & Mobility,"Autonomous driving, navigation, logistics."
path.tech,path,Travel & Mobility,"Logic flow, career pathing, navigation."
stay.tech,stay,Travel & Mobility,"PropTech, hospitality tech, booking."
host.tech,host,Travel & Mobility,"Cloud hosting, hospitality, event management."
visit.tech,visit,Travel & Mobility,"Analytics, tourism, virtual visits."
guide.tech,guide,Travel & Mobility,"AI assistants, tutorials, navigation."
map.tech,map,Travel & Mobility,"GIS tech, data visualization, autonomous driving."
port.tech,port,Travel & Mobility,"Logistics, API endpoints, networking."
ship.tech,ship,Travel & Mobility,"Logistics, software delivery (CI/CD)."
dock.tech,dock,Travel & Mobility,"Hardware peripherals, containerization."
fleet.tech,fleet,Travel & Mobility,"Vehicle management, drone swarms."
cargo.tech,cargo,Travel & Mobility,"Logistics automation, shipping tech."
plane.tech,plane,Travel & Mobility,"Aerospace, 3D modeling, travel tech."
rail.tech,rail,Travel & Mobility,"Railway tech, logistics."
bus.tech,bus,Travel & Mobility,"Public transport tech, data buses (computing)."
bike.tech,bike,Travel & Mobility,"Micro-mobility, e-bikes, fitness."
walk.tech,walk,Travel & Mobility,"Health tech, robotics, urban planning."
show.tech,show,Entertainment,"Streaming platforms, event tech, demos."
play.tech,play,Entertainment,"Gaming, music tech, interactivity."
game.tech,game,Entertainment,"Esports, gamification, mobile apps."
news.tech,news,Entertainment,"Journalism tech, AI feeds, content aggregators."
press.tech,press,Entertainment,"Publishing tech, hardware, PR platforms."
cast.tech,cast,Entertainment,"Podcasting, streaming, VR casting."
film.tech,film,Entertainment,"Video production tech, AI cinema."
art.tech,art,Entertainment,"Generative AI art, design tools, NFTs."
mood.tech,mood,Entertainment,"Sentiment analysis, wellness, music tech."
vibe.tech,vibe,Entertainment,"Social tech, networking, culture apps."
song.tech,song,Entertainment,"Music tech, AI generation, licensing."
tune.tech,tune,Entertainment,"Audio engineering, optimization, radio tech."
star.tech,star,Entertainment,"Rating systems, aerospace, celebrity tech."
fame.tech,fame,Entertainment,"Influencer tech, marketing platforms."
live.tech,live,Entertainment,"Streaming, real-time data, event tech."
stage.tech,stage,Entertainment,"Event tech, development environments."
scene.tech,scene,Entertainment,"VR/AR environments, movie tech."
plot.tech,plot,Entertainment,"Analytics, storytelling tech, mapping."
word.tech,word,Entertainment,"NLP, writing AI, publishing."
text.tech,text,Entertainment,"Messaging, linguistics tech, NLP."
fit.tech,fit,Lifestyle,"Fitness tech, biometrics, wearables."
run.tech,run,Lifestyle,"Execution tech, health, automation."
jump.tech,jump,Lifestyle,"Gaming, innovation, fitness."
eat.tech,eat,Lifestyle,"FoodTech, nutrition apps, delivery."
cook.tech,cook,Lifestyle,"Smart kitchen tech, recipe apps."
home.tech,home,Lifestyle,"Smart home, PropTech, automation."
life.tech,life,Lifestyle,"BioTech, health tech, longevity."
soul.tech,soul,Lifestyle,"Mental health, creative AI, wellness."
mind.tech,mind,Lifestyle,"AI reasoning, mental health tech."
body.tech,body,Lifestyle,"Biometrics, medical imaging, fitness."
mate.tech,mate,Lifestyle,"Dating tech, collaborative robots."
team.tech,team,Lifestyle,"Collaboration tools, HR tech."
group.tech,group,Lifestyle,"Social tech, networking, data clusters."
club.tech,club,Lifestyle,"Membership tech, exclusive communities."
meet.tech,meet,Lifestyle,"Video conferencing, networking tech."
love.tech,love,Lifestyle,"Dating tech, philanthropy, social apps."
care.tech,care,Lifestyle,"HealthTech, elderly care, customer service."
cure.tech,cure,Lifestyle,"BioTech, pharma tech."
help.tech,help,Lifestyle,"Customer support tech, accessibility."
safe.tech,safe,Lifestyle,"Cybersecurity, physical tech, insurance."
mode.tech,mode,Meta/Utility,"System states, dark mode UI, gaming."
type.tech,type,Meta/Utility,"Typography, coding types, classification."
form.tech,form,Meta/Utility,"SaaS builders, 3D modeling, data entry."
view.tech,view,Meta/Utility,"Analytics, computer vision, display tech."
look.tech,look,Meta/Utility,"Search, visual discovery, fashion tech."
feel.tech,feel,Meta/Utility,"Haptics, emotional AI, UX."
sense.tech,sense,Meta/Utility,"IoT sensors, AI context, perception."
touch.tech,touch,Meta/Utility,"Haptics, touchscreens, mobile tech."
prime.tech,prime,Meta/Utility,"Premium services, foundational tech."
main.tech,main,Meta/Utility,"Central infrastructure, core systems."
core.tech,core,Meta/Utility,"Backend, deep tech, infrastructure."
base.tech,base,Meta/Utility,"Databases, headquarters, foundational."
root.tech,root,Meta/Utility,"Admin access, foundational, AgTech."
stem.tech,stem,Meta/Utility,"Education (STEM), core technology."
branch.tech,branch,Meta/Utility,"Git workflows, expansion tech."
leaf.tech,leaf,Meta/Utility,"UI components, green tech."
seed.tech,seed,Meta/Utility,"Venture capital, early-stage, AgTech."
node.tech,node,Meta/Utility,"Blockchain, networking, data structures."
link.tech,link,Meta/Utility,"Networking, connectivity, APIs."
bond.tech,bond,Meta/Utility,"FinTech (bonds), material science, social tech."
quiz.tech,quiz,Education,"EdTech, testing software, gamification."
exam.tech,exam,Education,"Testing tech, certification platforms."
test.tech,test,Education,"QA tech, A/B testing, diagnostic tech."
learn.tech,learn,Education,"ML (Machine Learning), EdTech."
teach.tech,teach,Education,"EdTech, AI coaching, tutorials."
read.tech,read,Education,"OCR, document analysis, accessibility."
write.tech,write,Education,"Generative text AI, code editors."
book.tech,book,Education,"Booking systems, EdTech, publishing."
page.tech,page,Education,"Web builders, documentation tech."
note.tech,note,Education,"Knowledge management, AI writing."
mind.tech,mind,Education,"Cognitive tech, AI, mental health."
brain.tech,brain,Education,"Neural networks, AI infrastructure."
think.tech,think,Education,"AI reasoning, strategy tech."
logic.tech,logic,Education,"Algorithm design, AI reasoning."
math.tech,math,Education,"Computation, data science, EdTech."
skill.tech,skill,Education,"HR tech, talent platforms, EdTech."
wise.tech,wise,Education,"AI consulting, smart systems."
keen.tech,keen,Education,"Analytics, observation tech."
edge.tech,edge,Education,"Edge computing, competitive advantage."
sharp.tech,sharp,Education,"Precision tech, display tech."
tool.tech,tool,Tools,"General dev tools, hardware, utility."
kit.tech,kit,Tools,"SaaS templates, hardware kits."
set.tech,set,Tools,"UI kits, logic sets, collections."
box.tech,box,Tools,"Hardware, packaging tech, sandbox environments."
case.tech,case,Tools,"Hardware, legal tech, packaging."
tray.tech,tray,Tools,"UI elements, logistics, data management."
bin.tech,bin,Tools,"Storage, waste tech, data recycling."
file.tech,file,Tools,"Storage SaaS, documentation."
folder.tech,folder,Tools,"File management, organizing tech."
sheet.tech,sheet,Tools,"Spreadsheets, data management."
grid.tech,grid,Tools,"Energy grids, computing networks."
mesh.tech,mesh,Tools,"IoT networks, 3D modeling."
net.tech,net,Tools,"Networking, cybersecurity, web."
wire.tech,wire,Tools,"Connectivity, hardware news."
plug.tech,plug,Tools,"Hardware, API integrations, energy."
key.tech,key,Tools,"Encryption, access, physical security."
lock.tech,lock,Tools,"Cybersecurity, smart locks, PropTech."
bolt.tech,bolt,Tools,"Speed, hardware, fast transactions."
screw.tech,screw,Tools,"Hardware engineering, manufacturing tech."
nail.tech,nail,Tools,"Hardware, construction tech."
time.tech,time,Time & Flow,"Scheduling, time-tracking tech."
now.tech,now,Time & Flow,"Real-time tech, delivery, news."
soon.tech,soon,Time & Flow,"Booking, pre-launch tech."
fast.tech,fast,Time & Flow,"Performance tech, CDN, logistics."
slow.tech,slow,Time & Flow,"Deliberate tech, mindfulness apps."
pace.tech,pace,Time & Flow,"Fitness, project management."
rate.tech,rate,Time & Flow,"Reviews, fintech (interest rates)."
rank.tech,rank,Time & Flow,"SEO tech, search engines, esports."
score.tech,score,Time & Flow,"Gaming, credit scoring, analytics."
mark.tech,mark,Time & Flow,"Branding, tracking, education."
point.tech,point,Time & Flow,"PoS, precision tech, mapping."
spot.tech,spot,Time & Flow,"GPS tracking, social meeting tech."
line.tech,line,Time & Flow,"Logistics, UX, manufacturing."
row.tech,row,Time & Flow,"Databases, fitness (rowing tech)."
zero.tech,zero,Time & Flow,"Zero-trust security, zero-emission."
one.tech,one,Time & Flow,"Unified platforms, leading tech."
ten.tech,ten,Time & Flow,"Listicles, decimal tech."
level.tech,level,Time & Flow,"Gaming, performance tiers, construction."
grade.tech,grade,Time & Flow,"Education, quality control, food tech."
step.tech,step,Time & Flow,"Tutorials, health, robotics."
pure.tech,pure,Abstract,"Clean tech, simple UX, clean code."
true.tech,TRUE,Abstract,"Fact-checking, verification, authenticity."
real.tech,real,Abstract,"AR/VR, real estate, authenticity."
cool.tech,cool,Abstract,"Trend tracking, cooling systems."
hot.tech,hot,Abstract,"Trending topics, thermal tech."
cold.tech,cold,Abstract,"Cold storage (crypto), cooling tech."
dry.tech,dry,Abstract,"Agriculture tech, storage."
wet.tech,wet,Abstract,"Water tech, agriculture."
soft.tech,soft,Abstract,"Software, materials science."
hard.tech,hard,Abstract,"Hardware, infrastructure."
bold.tech,bold,Abstract,"Creative agencies, disruptive tech."
calm.tech,calm,Abstract,"Meditation apps, cybersecurity monitoring."
rare.tech,rare,Abstract,"Collectibles, NFTs, data gems."
rich.tech,rich,Abstract,"Wealth tech, data-rich analytics."
poor.tech,poor,Abstract,"Low-bandwidth tech, accessibility."
long.tech,long,Abstract,"Long-range tech, long-term data."
short.tech,short,Abstract,"Short-form video, micro-services."
high.tech,high,Abstract,"High-performance, aerospace."
low.tech,low,Abstract,"Low-code, energy efficiency."
big.tech,big,Abstract,"Big data, massive enterprise scale."
mass.tech,mass,Abstract Systems,"Mass production, physics engines, scale."
bulk.tech,bulk,Abstract Systems,"Wholesale e-commerce, data dumping."
span.tech,span,Abstract Systems,"Time tracking, bridge infrastructure tech."
arch.tech,arch,Abstract Systems,"Architecture software, cloud infra."
beam.tech,beam,Abstract Systems,"Laser tech, data transmission."
ray.tech,ray,Abstract Systems,"Graphics (Ray tracing), optics."
glow.tech,glow,Abstract Systems,"UI/UX effects, smart lighting."
fade.tech,fade,Abstract Systems,"Audio engineering, visual transitions."
mix.tech,mix,Abstract Systems,"Audio software, crypto mixers, data aggregation."
blend.tech,blend,Abstract Systems,"Smooth UX transitions, hybrid tech models."
fold.tech,fold,Abstract Systems,"Hardware (folding phones), UI components."
bind.tech,bind,Abstract Systems,"Data binding, legal tech contracts."
glue.tech,glue,Abstract Systems,"API integrations, middleware SaaS."
clip.tech,clip,Abstract Systems,"Video editing, copy-paste tech, hardware."
snip.tech,snip,Abstract Systems,"Code snippets, fast editing software."
draft.tech,draft,Abstract Systems,"Design software, sports tech, email SaaS."
draw.tech,draw,Abstract Systems,"Generative AI, CAD software, digital art."
sketch.tech,sketch,Abstract Systems,UI/UX wireframing tools.
paint.tech,paint,Abstract Systems,"Digital art, AR/VR coloring."
tint.tech,tint,Abstract Systems,"Photo editing, smart glass tech."
